Simulation Time,CRL Size,CRL Message Size
38.189,0,
38.189,,496
109.47,0,
109.47,,496
146.453,0,
146.453,,496
164.067,0,
164.067,,496
200.033,0,
200.033,,496
218.167,0,
218.167,,496
235.965,0,
235.965,,496
253.973,0,
253.973,,496
271.664,0,
271.664,,496
290.428,0,
290.428,,496
306,0,
306,,496
344.68,0,
344.68,,496
362.362,0,
362.362,,496
380.062,0,
380.062,,496
434.251,0,
434.251,,496
470.095,0,
470.095,,496
486,0,
486,,496
524.649,0,
524.649,,496
542.246,0,
542.246,,496
596.374,0,
596.374,,496
614.643,0,
614.643,,496
685.911,0,
685.911,,496
721.572,0,
721.572,,496
757.91,0,
757.91,,496
774,0,
774,,496
794.539,0,
794.539,,496
847.954,0,
847.954,,496
867.021,0,
867.021,,496
920.145,0,
920.145,,496
972,0,
972,,496
992.328,0,
992.328,,496
1009.59,14,
1009.59,,608
1026,14,
1026,,608
1081.54,14,
1081.54,,608
1100.64,14,
1100.64,,608
1135.59,14,
1135.59,,608
1152,14,
1152,,608
1171.61,14,
1171.61,,608
1189.18,14,
1189.18,,608
1206,14,
1206,,608
1242,14,
1242,,608
1278.99,14,
1278.99,,608
1297.83,14,
1297.83,,608
1315.88,14,
1315.88,,608
1334.19,14,
1334.19,,608
1370.73,14,
1370.73,,608
1387.92,14,
1387.92,,608
1422.64,14,
1422.64,,608
1460.51,14,
1460.51,,608
1496.14,14,
1496.14,,608
1512,14,
1512,,608
1530,14,
1530,,608
1548,14,
1548,,608
1585.46,14,
1585.46,,608
1639.83,14,
1639.83,,608
1656,14,
1656,,608
1676.8,14,
1676.8,,608
1693.38,14,
1693.38,,608
1710,14,
1710,,608
1729.98,14,
1729.98,,608
1782,14,
1782,,608
1838.48,14,
1838.48,,608
1874.38,14,
1874.38,,608
1890,14,
1890,,608
1908,14,
1908,,608
1927.79,14,
1927.79,,608
1945.2,14,
1945.2,,608
1982.54,14,
1982.54,,608
2018.05,25,
2018.05,,696
2053.98,25,
2053.98,,696
2088,25,
2088,,696
2107.5,25,
2107.5,,696
2143.34,25,
2143.34,,696
2179.94,25,
2179.94,,696
2196,25,
2196,,696
2234.41,25,
2234.41,,696
2269.8,25,
2269.8,,696
2306.47,25,
2306.47,,696
2340,25,
2340,,696
2358,25,
2358,,696
2377.78,25,
2377.78,,696
2414.58,25,
2414.58,,696
2450.55,25,
2450.55,,696
2466,25,
2466,,696
2485.52,25,
2485.52,,696
2558.11,25,
2558.11,,696
2574,25,
2574,,696
2610,25,
2610,,696
2629.72,25,
2629.72,,696
2666.36,25,
2666.36,,696
2720.17,25,
2720.17,,696
2737.23,25,
2737.23,,696
2756.21,25,
2756.21,,696
2773.93,25,
2773.93,,696
2792.14,25,
2792.14,,696
2809.39,25,
2809.39,,696
2826,25,
2826,,696
2844,25,
2844,,696
2862,25,
2862,,696
2899.82,25,
2899.82,,696
2934,25,
2934,,696
2952,25,
2952,,696
2990.05,25,
2990.05,,696
3025.62,25,
3025.62,,696
3042,25,
3042,,696
3060,25,
3060,,696
3079.47,25,
3079.47,,696
3097.8,25,
3097.8,,696
3134.57,25,
3134.57,,696
3169.75,25,
3169.75,,696
3188.27,25,
3188.27,,696
3205.93,25,
3205.93,,696
3222,25,
3222,,696
3260.06,25,
3260.06,,696
3276,25,
3276,,696
3312,25,
3312,,696
3348,25,
3348,,696
3366,25,
3366,,696
3385.22,25,
3385.22,,696
3438,25,
3438,,696
3456,25,
3456,,696
3493.85,25,
3493.85,,696
3512.79,25,
3512.79,,696
3546,25,
3546,,696
3583.53,25,
3583.53,,696
