Simulation Time,Event Type,Vehicle ID,Message Size
2.60292,PseudonymMessage,,488
2.71535,PseudonymMessage,,488
20.5375,PseudonymMessage,,488
20.5822,PseudonymMessage,,488
38.0963,PseudonymMessage,,488
38.8381,PseudonymMessage,,488
40.8381,PseudonymMessage,,488
56.2902,PseudonymMessage,,488
56.6603,PseudonymMessage,,488
58.2902,PseudonymMessage,,488
63.6029,PseudonymMessage,,488
63.7154,PseudonymMessage,,488
65.6029,PseudonymMessage,,488
65.7154,PseudonymMessage,,488
67.6029,PseudonymMessage,,488
74.5367,PseudonymMessage,,488
74.8968,PseudonymMessage,,488
76.8968,PseudonymMessage,,488
81.5375,PseudonymMessage,,488
81.5822,PseudonymMessage,,488
83.5375,PseudonymMessage,,488
83.5822,PseudonymMessage,,488
85.5375,PseudonymMessage,,488
92.7754,PseudonymMessage,,488
92.9264,PseudonymMessage,,488
99.0963,PseudonymMessage,,488
99.8381,PseudonymMessage,,488
101.838,PseudonymMessage,,488
103.838,PseudonymMessage,,488
110.409,PseudonymMessage,,488
110.991,PseudonymMessage,,488
112.409,PseudonymMessage,,488
117.66,PseudonymMessage,,488
119.29,PseudonymMessage,,488
119.66,PseudonymMessage,,488
121.29,PseudonymMessage,,488
123.29,PseudonymMessage,,488
125.29,PseudonymMessage,,488
126.715,PseudonymMessage,,488
128.461,PseudonymMessage,,488
128.603,PseudonymMessage,,488
128.715,PseudonymMessage,,488
128.807,PseudonymMessage,,488
130.461,PseudonymMessage,,488
130.807,PseudonymMessage,,488
132.807,PseudonymMessage,,488
134.807,PseudonymMessage,,488
135.537,PseudonymMessage,,488
135.897,PseudonymMessage,,488
137.537,PseudonymMessage,,488
139.537,PseudonymMessage,,488
144.582,PseudonymMessage,,488
146.055,PseudonymMessage,,488
146.538,PseudonymMessage,,488
146.582,PseudonymMessage,,488
146.911,PseudonymMessage,,488
148.582,PseudonymMessage,,488
148.911,PseudonymMessage,,488
150.911,PseudonymMessage,,488
153.775,PseudonymMessage,,488
153.926,PseudonymMessage,,488
155.775,PseudonymMessage,,488
155.926,PseudonymMessage,,488
157.775,PseudonymMessage,,488
157.926,PseudonymMessage,,488
160.096,PseudonymMessage,,488
162.096,PseudonymMessage,,488
162.838,PseudonymMessage,,488
164.096,PseudonymMessage,,488
164.345,PseudonymMessage,,488
164.796,PseudonymMessage,,488
166.796,PseudonymMessage,,488
171.991,PseudonymMessage,,488
173.409,PseudonymMessage,,488
