Simulation Time,Event Type,Vehicle ID,Message Size
2.84443,PseudonymMessage,,488
2.85811,PseudonymMessage,,488
4.85811,PseudonymMessage,,488
20.5375,PseudonymMessage,,488
20.7588,PseudonymMessage,,488
22.5375,PseudonymMessage,,488
22.7588,PseudonymMessage,,488
38.0559,PseudonymMessage,,488
38.5098,PseudonymMessage,,488
40.0559,PseudonymMessage,,488
40.5098,PseudonymMessage,,488
42.0559,PseudonymMessage,,488
44.0559,PseudonymMessage,,488
46.0559,PseudonymMessage,,488
56.5701,PseudonymMessage,,488
56.591,PseudonymMessage,,488
58.5701,PseudonymMessage,,488
58.591,PseudonymMessage,,488
74.2294,PseudonymMessage,,488
74.8817,PseudonymMessage,,488
76.8817,PseudonymMessage,,488
92.2508,PseudonymMessage,,488
92.883,PseudonymMessage,,488
94.2508,PseudonymMessage,,488
96.2508,PseudonymMessage,,488
110.313,PseudonymMessage,,488
110.368,PseudonymMessage,,488
112.313,PseudonymMessage,,488
128.619,PseudonymMessage,,488
128.887,PseudonymMessage,,488
130.619,PseudonymMessage,,488
132.619,PseudonymMessage,,488
146.162,PseudonymMessage,,488
146.56,PseudonymMessage,,488
148.56,PseudonymMessage,,488
164.376,PseudonymMessage,,488
164.521,PseudonymMessage,,488
166.376,PseudonymMessage,,488
182.03,PseudonymMessage,,488
182.91,PseudonymMessage,,488
184.03,PseudonymMessage,,488
184.91,PseudonymMessage,,488
186.91,PseudonymMessage,,488
188.91,PseudonymMessage,,488
200.155,PseudonymMessage,,488
200.62,PseudonymMessage,,488
218.043,PseudonymMessage,,488
218.112,PseudonymMessage,,488
220.043,PseudonymMessage,,488
236.27,PseudonymMessage,,488
236.764,PseudonymMessage,,488
238.27,PseudonymMessage,,488
240.27,PseudonymMessage,,488
242.27,PseudonymMessage,,488
244.27,PseudonymMessage,,488
254.251,PseudonymMessage,,488
254.605,PseudonymMessage,,488
256.251,PseudonymMessage,,488
272.454,PseudonymMessage,,488
273.68,PseudonymMessage,,488
275.68,PseudonymMessage,,488
290.797,PseudonymMessage,,488
290.977,PseudonymMessage,,488
292.797,PseudonymMessage,,488
292.977,PseudonymMessage,,488
308.714,PseudonymMessage,,488
308.772,PseudonymMessage,,488
310.714,PseudonymMessage,,488
310.772,PseudonymMessage,,488
326.363,PseudonymMessage,,488
326.934,PseudonymMessage,,488
328.934,PseudonymMessage,,488
330.934,PseudonymMessage,,488
344.857,PseudonymMessage,,488
346.857,PseudonymMessage,,488
347.701,PseudonymMessage,,488
349.701,PseudonymMessage,,488
351.701,PseudonymMessage,,488
353.701,PseudonymMessage,,488
362.56,PseudonymMessage,,488
366.016,PseudonymMessage,,488
368.016,PseudonymMessage,,488
380.11,PseudonymMessage,,488
384.104,PseudonymMessage,,488
398.109,PseudonymMessage,,488
399.102,PseudonymMessage,,488
401.102,PseudonymMessage,,488
403.102,PseudonymMessage,,488
416.499,PseudonymMessage,,488
417.864,PseudonymMessage,,488
418.499,PseudonymMessage,,488
419.864,PseudonymMessage,,488
421.864,PseudonymMessage,,488
423.864,PseudonymMessage,,488
425.864,PseudonymMessage,,488
427.864,PseudonymMessage,,488
429.864,PseudonymMessage,,488
434.162,PseudonymMessage,,488
436.162,PseudonymMessage,,488
436.737,PseudonymMessage,,488
438.162,PseudonymMessage,,488
438.737,PseudonymMessage,,488
440.162,PseudonymMessage,,488
452.184,PseudonymMessage,,488
452.573,PseudonymMessage,,488
454.573,PseudonymMessage,,488
470.263,PseudonymMessage,,488
470.485,PseudonymMessage,,488
472.263,PseudonymMessage,,488
488.956,PseudonymMessage,,488
488.962,PseudonymMessage,,488
506.376,PseudonymMessage,,488
506.626,PseudonymMessage,,488
508.376,PseudonymMessage,,488
508.626,PseudonymMessage,,488
510.626,PseudonymMessage,,488
527.935,PseudonymMessage,,488
530.498,PseudonymMessage,,488
532.498,PseudonymMessage,,488
542.795,PseudonymMessage,,488
544.274,PseudonymMessage,,488
544.795,PseudonymMessage,,488
562.576,PseudonymMessage,,488
563.664,PseudonymMessage,,488
564.576,PseudonymMessage,,488
565.664,PseudonymMessage,,488
566.576,PseudonymMessage,,488
567.664,PseudonymMessage,,488
568.576,PseudonymMessage,,488
569.664,PseudonymMessage,,488
578.292,PseudonymMessage,,488
578.526,PseudonymMessage,,488
580.292,PseudonymMessage,,488
596.446,PseudonymMessage,,488
596.774,PseudonymMessage,,488
598.446,PseudonymMessage,,488
598.774,PseudonymMessage,,488
614.149,PseudonymMessage,,488
614.866,PseudonymMessage,,488
616.149,PseudonymMessage,,488
632.336,PseudonymMessage,,488
634.336,PseudonymMessage,,488
636.336,PseudonymMessage,,488
638.464,PseudonymMessage,,488
650.045,PseudonymMessage,,488
650.496,PseudonymMessage,,488
652.045,PseudonymMessage,,488
668.46,PseudonymMessage,,488
670.46,PseudonymMessage,,488
672.064,PseudonymMessage,,488
672.46,PseudonymMessage,,488
674.46,PseudonymMessage,,488
676.46,PseudonymMessage,,488
686.345,PseudonymMessage,,488
686.398,PseudonymMessage,,488
688.345,PseudonymMessage,,488
704.236,PseudonymMessage,,488
704.365,PseudonymMessage,,488
722.891,PseudonymMessage,,488
732.013,PseudonymMessage,,488
734.013,PseudonymMessage,,488
736.013,PseudonymMessage,,488
743.131,PseudonymMessage,,488
745.131,PseudonymMessage,,488
747.131,PseudonymMessage,,488
749.131,PseudonymMessage,,488
750.466,PseudonymMessage,,488
758.031,PseudonymMessage,,488
758.987,PseudonymMessage,,488
760.031,PseudonymMessage,,488
776.33,PseudonymMessage,,488
776.363,PseudonymMessage,,488
794.03,PseudonymMessage,,488
794.263,PseudonymMessage,,488
796.03,PseudonymMessage,,488
798.03,PseudonymMessage,,488
812.157,PseudonymMessage,,488
814.027,PseudonymMessage,,488
814.157,PseudonymMessage,,488
816.027,PseudonymMessage,,488
830.194,PseudonymMessage,,488
830.894,PseudonymMessage,,488
832.894,PseudonymMessage,,488
834.894,PseudonymMessage,,488
848.085,PseudonymMessage,,488
850.167,PseudonymMessage,,488
852.167,PseudonymMessage,,488
866.882,PseudonymMessage,,488
868.882,PseudonymMessage,,488
870.882,PseudonymMessage,,488
871.118,PseudonymMessage,,488
873.118,PseudonymMessage,,488
875.118,PseudonymMessage,,488
884.324,PseudonymMessage,,488
884.562,PseudonymMessage,,488
886.324,PseudonymMessage,,488
902.762,PseudonymMessage,,488
902.833,PseudonymMessage,,488
904.833,PseudonymMessage,,488
