Simulation Time,Message Size
55.8236,496
74.1898,496
90,496
182.258,496
199.615,496
216,496
236.506,496
254.471,496
288,496
307.501,496
362.577,496
396,496
416.889,496
432,496
450,496
470.706,496
487.535,496
506.366,496
540,496
559.484,496
576,496
613.998,496
630,496
648,496
668.131,496
684,496
702,496
721.952,496
738,496
758.357,496
794.251,496
829.963,496
847.853,496
864,496
900,496
919.95,496
938.49,496
1009.98,616
1028.9,616
1045.86,616
1081.24,616
1100.3,616
1117.45,616
1190.38,496
1207.81,496
1224,496
1244.95,496
1296,496
1314,496
1333.13,496
1352.71,496
1459.55,496
1478.13,496
1514.39,496
1548,496
1567.72,496
1640.55,496
1657.49,496
1692,496
1711.95,496
1800,496
1818,496
1855.51,496
1891.71,496
1945.24,496
1964.08,496
1980,496
2017.92,584
2070,584
2107.5,584
2142,584
2160,584
2178,584
2196,496
2251.06,496
2269.66,496
2286,496
2324.19,496
2378.52,496
2396.13,496
2412,496
2485.66,496
2504.89,496
2520,496
2574,496
2592,496
2610,496
2700,496
2719.07,496
2736,496
2755.88,496
2773.63,496
2864.15,496
2881.66,496
2898,496
2954.24,496
2990.24,496
3006,496
3024,496
3042,496
3079.09,496
3098.33,496
3153.09,496
3187.56,496
3205.49,496
3223.7,496
3260.72,496
3331.82,496
3349.58,496
3402,496
3420,496
3439.94,496
3474,496
3494.06,496
3548.08,496
3583.84,496
