Simulation Time,Message Size
6,496
14.6415,496
24,496
30,496
37.7009,496
43.8046,496
49.5207,496
61.4834,496
90,520
98.4832,520
103.617,520
108,520
116.262,520
122.328,520
134.181,496
146.706,520
157.791,520
174,520
187.938,520
193.923,520
206.15,520
210,496
217.885,496
223.945,520
240,520
260.226,520
265.463,520
283.821,496
289.529,496
300,504
308.145,504
314.087,504
338.25,504
342,504
348,504
362.73,520
367.538,520
372,520
379.528,520
385.823,520
392.54,520
397.916,520
404.181,520
416.271,496
427.891,520
432,520
458.138,520
470.538,520
476.789,520
482.379,520
498,512
504,512
512.323,512
517.693,512
524.125,512
529.04,512
535.709,512
542.231,512
548.544,512
553.491,512
558,496
564,496
584.249,512
589.055,512
602.463,512
608.319,512
612,512
619.753,512
624,512
638.271,520
644.313,504
649.213,504
674.119,504
684,504
690,496
704.54,512
710.226,512
722.319,512
728.461,512
735.03,512
738,512
744,512
750,512
756,512
762,496
775.94,512
781.814,512
794.642,512
798,512
811.201,512
817.372,528
835.741,512
842.404,512
847.878,512
854.027,512
866.168,512
870,512
882,496
888,496
894.997,504
901.724,504
908.498,504
912,504
920.49,504
924,504
961.997,496
974.115,520
979.68,520
984,520
997.655,520
1002,520
1010.15,520
1020,520
1039.95,520
1045.96,520
1057.83,520
1064.2,520
1068,520
1088.06,512
1100,512
1111.3,512
1118.33,512
1123.95,512
1136.82,512
1147.98,512
1154.44,512
1171.58,512
1178.09,512
1183.22,512
1189.69,512
1214.99,520
1220.12,520
1230,520
1236,520
1244.36,520
1254,520
1267.85,496
1274.45,504
1279.68,504
1286.23,504
1293.06,504
1298.74,504
1309.52,504
1345.9,512
1363.95,512
1368,512
1377.43,512
1380,512
1388.37,512
1392,512
1417.62,520
1423.93,520
1430.59,520
1435.29,520
1441.81,520
1446,520
1458,520
1472.02,520
1478.48,520
1494,520
1500,520
1506,520
1512,520
1520.7,520
1526.59,520
1538.05,496
1544.46,496
1549.97,496
1586.09,504
1592.73,504
1614,520
1621.55,512
1627.75,512
1638,512
1646.01,512
1657.64,512
1663.02,512
1668,496
1682.27,512
1706.47,512
1711.82,512
1724.02,512
1740,520
1748.22,520
1753.65,520
1758,520
1788,496
1801.82,512
1808.04,512
1812,512
1820.44,512
1825.91,512
1832.21,512
1862.13,520
1867.55,504
1873.72,504
1884,504
1890,504
1898.36,504
1914,504
1934.69,504
1956,504
1963.52,504
1969.9,520
1980,512
1986,512
1999.98,512
2010,512
2036.36,496
2042.59,496
2047.95,512
2054.17,512
2060.58,512
2064,512
2071.74,512
2076,512
2083.96,512
2089.53,512
2119.97,504
2130,504
2136,504
2142,504
2154,504
2161.82,496
2167.41,520
2173.4,520
2191.62,520
2204.81,520
2208,520
2214,520
2226,544
2233.81,520
2246.19,520
2251.95,520
2257.54,520
2270.58,520
2282.63,520
2292,520
2299.06,520
2310,520
2323.3,520
2329.88,520
2352,504
2366.43,504
2371.62,504
2383.98,504
2402.05,496
2419.47,512
2425.42,512
2432.43,512
2438.65,512
2461.55,512
2484,496
2496,496
2510.88,504
2514,504
2522.68,504
2526,504
2546.16,504
2551.74,504
2556,504
2562,496
2570.37,496
2576.45,496
2581.53,512
2587.9,512
2592,512
2604,512
2617.43,512
2628,512
2635.91,512
2647.92,496
2654.56,496
2658,512
2670,512
2689.27,512
2694,512
2712,512
2720.9,496
2725.28,496
2744.57,512
2749.97,512
2756.04,512
2768.13,512
2772,512
2790,520
2798.69,520
2821.78,504
2832,504
2839.93,504
2844,504
2863.6,496
2880,504
2888.45,504
2894.11,504
2899.37,504
2905.01,504
2922,504
2934,496
2940,496
2959.78,520
2964,520
2971.7,520
2977.38,520
2984.58,520
3007.49,512
3014.07,512
3020.34,512
3025.59,512
3032.01,512
3067.95,496
3090,504
3098.4,504
3117.12,504
3120,504
3128.53,528
3138,520
3144,520
3157.98,520
3162,520
3176.93,520
3188.25,496
3192,520
3200.33,520
3205.87,520
3224.06,520
3228,520
3260.36,520
3265.78,520
3276,520
3284.11,520
3295.73,520
3308.2,520
3312,536
3319.11,512
3350.01,512
3356.71,512
3378,496
3384,496
3392.46,504
3396,504
3402,504
3415.91,504
3427.24,504
3434.13,504
3452.14,520
3458.33,512
3477.06,512
3481.63,512
3498,512
3511.48,504
3517.45,504
3522,504
3528,504
3540,504
3546.95,504
3553.23,504
3558,504
3565.55,504
3595.85,512
